seconds,minutes,temperature,log,real_k
2559,42.65,44.812,3.082,0.0295743293033967
2560,42.6666666666667,44.75,3.08,0.0296294921324763
2561,42.6833333333333,44.75,3.08,0.0296179226314485
2562,42.7,44.75,3.08,0.0296063621620373
2563,42.7166666666667,44.75,3.08,0.0295948107136712
2564,42.7333333333333,44.75,3.08,0.0295832682757954
2565,42.75,44.75,3.08,0.0295717348378711
2566,42.7666666666667,44.75,3.08,0.0295602103893762
2567,42.7833333333333,44.75,3.08,0.029548694919805
2568,42.8,44.687,3.077,0.0296049630646592
2569,42.8166666666667,44.75,3.08,0.0295256908754922
2570,42.8333333333333,44.75,3.08,0.0295142022798208
2571,42.85,44.75,3.08,0.0295027226212133
2572,42.8666666666667,44.687,3.077,0.0295589211314327
2573,42.8833333333333,44.687,3.077,0.0295474330159522
2574,42.9,44.687,3.077,0.0295359538267462
2575,42.9166666666667,44.687,3.077,0.0295244835534154
2576,42.9333333333333,44.687,3.077,0.0295130221855764
2577,42.95,44.687,3.077,0.0295015697128618
2578,42.9666666666667,44.687,3.077,0.0294901261249204
2579,42.9833333333333,44.687,3.077,0.0294786914114172
2580,43,44.687,3.077,0.0294672655620329
2581,43.0166666666667,44.687,3.077,0.0294558485664645
2582,43.0333333333333,44.687,3.077,0.0294444404144248
2583,43.05,44.687,3.077,0.0294330410956426
2584,43.0666666666667,44.625,3.074,0.0294881277639878
2585,43.0833333333333,44.625,3.074,0.029476720364466
2586,43.1,44.687,3.077,0.0293988960363669
2587,43.1166666666667,44.625,3.074,0.0294539320224756
2588,43.1333333333333,44.625,3.074,0.0294425510595612
2589,43.15,44.625,3.074,0.0294311788884297
2590,43.1666666666667,44.562,3.071,0.0294874034533612
2591,43.1833333333333,44.562,3.071,0.0294760227495969
2592,43.2,44.625,3.074,0.0293971150239755
2593,43.2166666666667,44.562,3.071,0.0294532876761301
2594,43.2333333333333,44.562,3.071,0.0294419332861239
2595,43.25,44.562,3.071,0.0294305876470927
2596,43.2666666666667,44.562,3.071,0.0294192507489235
2597,43.2833333333333,44.562,3.071,0.0294079225815193
2598,43.3,44.5,3.1,0.0294631059288699
2599,43.3166666666667,44.5,3.1,0.0294517696049265
2600,43.3333333333333,44.5,3.1,0.0294404420012323
2601,43.35,44.5,3.1,0.0294291231077293
2602,43.3666666666667,44.5,3.1,0.0294178129143751
2603,43.3833333333333,44.5,3.1,0.0294065114111426
2604,43.4,44.5,3.1,0.02939521858802
2605,43.4166666666667,44.5,3.1,0.0293839344350111
2606,43.4333333333333,44.5,3.1,0.0293726589421351
2607,43.45,44.5,3.1,0.0293613920994262
2608,43.4666666666667,44.437,3.065,0.0294176461843869
2609,43.4833333333333,44.5,3.1,0.0293388843247237
2610,43.5,44.437,3.065,0.0293951039267744
